r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
0.00517743752065099	0.00479744418127781	0.1032525891413984	13.625074400487033	7.309992735146957e-9	3	6694.175353603423	-13378.350707206846	-13343.504270206255	83.73225712921663	7854	7858	Linear model	NA	NA
0.00915631357362377	-0.20102728235915412	NA	29.949842440989162	1.1289627134050029e-13	NA	NA	NA	NA	42.00502482962426	6482	7858	Linear model with fixed effect	NA	NA
0.0052320531225589105	0.0048520806447600595	107.88321291945442	13.76955813449306	5.9218671689837205e-9	3	3444.196871443237	-6878.393742886474	-6843.5473058858815	91411038.04464036	7854	7858	Linear model assets weighted	NA	NA
0.5358947630065458	0.4370986651655496	81.13835367931927	NA	NA	NA	9416.62771413188	-16073.255428263761	-6455.6388161003615	NA	NA	7858	Linear model assets weighted with fixed effect	0.002437953415883931	NA
0.005310795972260129	0.0044238119686684785	0.10327196955440049	5.987476606968579	5.646456890190545e-7	7	6694.702081181493	-13371.404162362986	-13308.68057576192	83.72103261081342	7850	7858	Event study	NA	NA
0.016363054380338936	-0.19376513465147926	NA	10.769666036850776	2.271703551789659e-18	NA	NA	NA	NA	41.69950809608332	6474	7858	Event study with fixed effects	NA	NA
0.00655939996397692	0.005673529365218699	107.83867741820926	NA	NA	NA	6576.612584089269	-13137.225168178538	-13081.47086897759	NA	NA	7858	Event study assets weighted	NA	NA
0.5368137557035362	0.43786618451694226	81.083018494101	NA	NA	NA	9412.71020014156	-16057.420400283121	-6411.926638519248	NA	NA	7858	Event study assets weighted with fixed effects	0.004413264536147099	NA
